Key,HoldTime,FlightTime,DigraphLatency
u,0.0871,0.0741,0.1555
l,0.0925,0.2537,0.2483
a,0.1275,0.807,0.7719
n,0.1987,0.2773,0.2061
i,0.1513,0.1302,0.1777
w,0.1128,1.2081,1.2466
a,0.0617,0.2098,0.2609
s,0.064,0.1911,0.1887
e,0.1159,0.6248,0.573
x,0.095,0.7914,0.8123
e,0.0711,0.146,0.1698
c,0.0913,0.3232,0.303
u,0.0821,0.4899,0.4991
t,0.1308,0.3865,0.3377
e,0.0903,0.0698,0.1103
d,0.0837,0.1679,0.1745
i,0.0925,0.5792,0.5704
n,0.078,0.2061,0.2206
.,0.073,1.1939,1.1988
t,0.1267,1.0784,1.0247
h,0.0871,0.0944,0.134
e,0.0717,0.1317,0.1471
y,0.0756,0.0965,0.0926
f,0.1448,0.5027,0.4335
i,0.0941,0.1451,0.1959
r,0.0891,0.0473,0.0523
s,0.0914,0.3175,0.3152
t,0.0987,0.162,0.1547
a,0.0825,0.9802,0.9964
t,0.075,0.6932,0.7008
t,0.0782,0.1764,0.1732
a,0.1452,0.3529,0.2859
c,0.0952,0.1582,0.2083
k,0.1286,2.2089,2.1755
e,0.1093,0.0868,0.1061
d,0.0802,0.2502,0.2794
a,0.1002,0.5311,0.5112
t,0.1025,0.543,0.5407
e,0.095,0.1044,0.112
l,0.1412,0.7491,0.7028
e,0.0904,0.3019,0.3527
v,0.1154,0.578,0.5529
i,0.1275,0.2204,0.2084
o,0.1895,0.1562,0.0942
s,0.0827,0.8443,0.9511
o,0.132,0.331,0.2817
n,0.0762,0.2217,0.2775
s,0.1461,1.9823,1.9124
t,0.0937,0.2505,0.3029
u,0.0542,0.2937,0.3332
d,0.1167,1.3614,1.2989
i,0.1018,0.2478,0.2627
o,0.104,0.1959,0.1938
w,0.1695,1.2742,1.2086
h,0.1017,0.1138,0.1816
e,0.0806,0.0665,0.0876
r,0.0911,0.168,0.1575
e,0.0633,0.029,0.0568
t,0.1063,0.7619,0.7189
h,0.1026,0.0835,0.0872
e,0.0797,0.151,0.1739
y,0.0787,0.0933,0.0943
b,0.1116,1.0464,1.0134
e,0.1097,0.5107,0.5127
l,0.0973,0.2094,0.2218
i,0.0825,0.2593,0.274
v,0.086,0.7595,0.756
e,0.0979,0.1639,0.1521
a,16.8608,2.6887,0.5112
l,0.1032,0.2432,0.2482
a,0.1889,0.7675,0.6818
s,0.124,0.0929,0.1578
a,0.1096,0.2564,0.2707
d,0.0859,0.7747,0.7983
